ID,intensidad,TrafficOccupancy,carga,nivelServicio,intensidadSat,Date_UTC
10344,300,3,7,0,3600,2024-03-30T10:36:04.250591+00:00
10344,300,3,7,0,3600,2024-03-30T10:41:29.363996+00:00
10344,140,0,6,0,3600,2024-03-30T10:46:53.925019+00:00
10344,300,2,7,0,3600,2024-03-30T10:52:20.499428+00:00
10344,420,4,8,0,3600,2024-03-30T10:57:44.919951+00:00
10344,120,0,6,0,3600,2024-03-30T11:03:09.635229+00:00
10344,280,2,6,0,3600,2024-03-30T11:08:34.085374+00:00
10344,400,4,8,0,3600,2024-03-30T11:14:17.240898+00:00
10344,160,0,6,0,3600,2024-03-30T11:19:44.590261+00:00
10344,560,5,10,0,3600,2024-03-30T11:25:09.488823+00:00
10344,340,2,9,0,3600,2024-03-30T11:30:45.945262+00:00
10344,180,2,6,0,3600,2024-03-30T11:36:11.232485+00:00
10344,360,2,7,0,3600,2024-03-30T11:41:35.537360+00:00
10344,200,1,6,0,3600,2024-03-30T11:47:00.714849+00:00
10344,280,2,6,0,3600,2024-03-30T11:52:25.639843+00:00
10344,180,1,6,0,3600,2024-03-30T11:57:50.552265+00:00

